Year,Date submitted,Political subdivision,Resident rate,Non-Resident Rate,Code,Code type
2024,11/14/2023,City of Shavano Park,200,250,A0382,BLS Disposables
2024,11/14/2023,City of Shavano Park,400,400,A0398,ALS Disposables
2024,11/14/2023,City of Shavano Park,900,1000,A0428,CPT
2024,11/14/2023,City of Shavano Park,950,1050,A0426,CPT
2024,11/14/2023,City of Shavano Park,950,1050,A0433,CPT
2024,11/14/2023,Hardin County ESD # 2 / Lumberton Fire & EMS,1998.6,1998.6,A0427,CPT
2024,11/14/2023,Hardin County ESD # 2 / Lumberton Fire & EMS,2098.6,2098.6,A0433,CPT
2024,11/14/2023,Hardin County ESD # 2 / Lumberton Fire & EMS,24,24,A0425,CPT
2024,11/14/2023,Rankin County Hospital District,1164.4,1164.4,A0426,CPT
2024,11/14/2023,Rankin County Hospital District,1591.35,1591.35,A0428,CPT
2024,11/14/2023,Rankin County Hospital District,1697.45,1697.45,A0429,CPT
2024,11/14/2023,Rankin County Hospital District,1803.55,1803.55,A0427,CPT
2024,11/14/2023,Rankin County Hospital District,2105.7,2105.7,A0433,CPT
2024,11/14/2023,Rankin County Hospital District,23.7,23.7,A0425,CPT
2024,11/14/2023,Scurry County,171.93,171.93,A0998,Treat/Assist/Aid
2024,11/14/2023,Scurry County,1878.28,1878.28,A0428,CPT
2024,11/14/2023,Scurry County,2174.86,2174.86,A0429,CPT
2024,11/14/2023,Scurry County,247.15,247.15,A0422,Oxygen Supplies
2024,11/14/2023,Scurry County,3284.06,3284.06,A0426,CPT
2024,11/14/2023,Scurry County,3547.73,3547.73,A0427,CPT
2024,11/14/2023,Scurry County,3758.74,3758.74,A0433,CPT
2024,11/14/2023,Scurry County,4134.61,4134.61,A0434,CPT
2024,11/14/2023,Scurry County,49.69,49.69,A0425,CPT
2024,11/14/2023,Scurry County,59.32,59.32,A0382,Disposable Supplies
2024,11/14/2023,Texas A&M University EMS,1100,1100,A0428,CPT
2024,11/14/2023,Texas A&M University EMS,1100,1100,A0429,CPT
2024,11/14/2023,Texas A&M University EMS,1300,1300,A0426,CPT
2024,11/14/2023,Texas A&M University EMS,1300,1300,A0427,CPT
2024,11/14/2023,Texas A&M University EMS,1450,1450,A0433,CPT
2024,11/14/2023,Texas A&M University EMS,20,20,A0382,HCPCS
2024,11/14/2023,Texas A&M University EMS,20,20,A0425,CPT
2024,11/14/2023,Texas A&M University EMS,30,30,A4628,HCPCS
2024,11/14/2023,Texas A&M University EMS,45,45,A0396,HCPCS
2024,11/14/2023,Texas A&M University EMS,45,45,A0398,HCPCS
2024,11/14/2023,Texas A&M University EMS,45,45,E0830,HCPCS
2024,11/14/2023,Texas A&M University EMS,65,65,A0394,HCPCS
2024,11/14/2023,Texas A&M University EMS,70,70,A0392,HCPCS
2024,11/14/2023,Texas A&M University EMS,80,80,A0999,HCPCS
2024,11/15/2023,City Of Saint Jo,1300,1300,A0428,CPT
2024,11/15/2023,City Of Saint Jo,1300,1300,A0429,CPT
2024,11/15/2023,City Of Saint Jo,1500,1500,A0426,CPT
2024,11/15/2023,City Of Saint Jo,1500,1500,A0427,CPT
2024,11/15/2023,City Of Saint Jo,1700,1700,A0433,CPT
2024,11/15/2023,City Of Saint Jo,200,200,A0998,Treatment no transport
2024,11/15/2023,City Of Saint Jo,2200,2200,A0434,CPT
2024,11/15/2023,City Of Saint Jo,24,24,A0425,CPT
2024,11/15/2023,City Of Saint Jo,350,350,A0382,BLS Disposable
2024,11/15/2023,City Of Saint Jo,450,450,A03982,ALS Disposable
2024,11/15/2023,City of Bedford,119,119,A0422,Oxygen
2024,11/15/2023,City of Bedford,1215.5,1215.5,A0429,CPT
2024,11/15/2023,City of Bedford,1583.4,1583.4,A0427,CPT
2024,11/15/2023,City of Bedford,1628.4,1628.4,A0433,CPT
2024,11/15/2023,City of Bedford,175,175,A0998,Treatment No Transport
2024,11/15/2023,City of Bedford,23,23,A0425,CPT
2024,11/15/2023,City of Bedford,250,250,A0382,BLS Disposable
2024,11/15/2023,City of Bedford,350,350,A0398,ALS Disposable
2024,11/15/2023,City of Bowie,119,119,A0422,Oxygen
2024,11/15/2023,City of Bowie,1327.17,1327.17,A0428,CPT
2024,11/15/2023,City of Bowie,1533.97,1533.97,A0429,CPT
2024,11/15/2023,City of Bowie,175,175,A0998,Treatment No Transport
2024,11/15/2023,City of Bowie,2012.37,2012.37,A0426,CPT
2024,11/15/2023,City of Bowie,2198.76,2198.76,A0434,CPT
2024,11/15/2023,City of Bowie,2219.17,2219.17,A0427,CPT
2024,11/15/2023,City of Bowie,2236.3,2236.3,A0433,CPT
2024,11/15/2023,City of Bowie,23,23,A0425,CPT
2024,11/15/2023,City of Bowie,310.5,310.5,A0398,ALS Disposable Supplies
2024,11/15/2023,City of Bowie,52.5,52.5,A0382,BLS Disposable Supplies
2024,11/15/2023,City of Farmers Branch,15,15,A0425,CPT
2024,11/15/2023,City of Farmers Branch,150,150,A0422,Oxygen
2024,11/15/2023,City of Farmers Branch,200,200,A0382,BLS Disposables
2024,11/15/2023,City of Farmers Branch,300,300,A0398,ALS Disposables
2024,11/15/2023,City of Farmers Branch,725,950,A0429,CPT
2024,11/15/2023,City of Farmers Branch,750,1050,A0427,CPT
2024,11/15/2023,City of Farmers Branch,825,1125,A0433,CPT
2024,11/15/2023,City of Farmers Branch,900,900,A0434,CPT
2024,11/15/2023,Crockett County,1400,1400,A0428,CPT
2024,11/15/2023,Crockett County,1400,1400,A0429,CPT
2024,11/15/2023,Crockett County,150,150,A0422,Oxygen
2024,11/15/2023,Crockett County,1600,1600,A0426,CPT
2024,11/15/2023,Crockett County,1600,1600,A0427,CPT
2024,11/15/2023,Crockett County,1800,1800,A0433,CPT
2024,11/15/2023,Crockett County,200,200,A0998,TNT- Treatment No Transport
2024,11/15/2023,Crockett County,2000,2000,A0434,CPT
2024,11/15/2023,Crockett County,24,24,A0425,CPT
2024,11/15/2023,Crockett County,350,350,A0382,BLS Disposables
2024,11/15/2023,Crockett County,450,450,A0384,Disposable supplies: defibrillation ALS and BLS
2024,11/15/2023,Crockett County,450,450,A0392,Disposable supplies: defibrillation ALS
2024,11/15/2023,Crockett County,450,450,A0394,ALS Special Disposable supplies: IV Drug Therapy
2024,11/15/2023,Crockett County,450,450,A0396,ALS Disposable Supplies: Endotracheal intubation
2024,11/15/2023,Crockett County,450,450,A0398,ALS - Disposables
2024,11/15/2023,Village Fire Department,1200,1200,A0428,CPT
2024,11/15/2023,Village Fire Department,1200,1200,A0429,CPT
2024,11/15/2023,Village Fire Department,1500,1500,A0426,CPT
2024,11/15/2023,Village Fire Department,1500,1500,A0427,CPT
2024,11/15/2023,Village Fire Department,1700,1700,A0433,CPT
2024,11/15/2023,Village Fire Department,2000,2000,A0434,CPT
2024,11/15/2023,Village Fire Department,24,24,A0425,CPT
2024,11/15/2023,Village Fire Department,350,350,A0382,BLS Routine Disposable Supplies
2024,11/15/2023,Village Fire Department,400,400,A0398,ALS Routine Disposable Supplies
2024,11/16/2023,City of Helotes,1050,1175,A0428,CPT
2024,11/16/2023,City of Helotes,1100,1225,A0426,CPT
2024,11/16/2023,City of Helotes,125,125,A0422,Oxygen
2024,11/16/2023,City of Helotes,1250,1375,A0433,CPT
2024,11/16/2023,City of Helotes,175,175,A0998,Treatment-No Transport
2024,11/16/2023,City of Helotes,20,20,A0425,CPT
2024,11/16/2023,City of Helotes,250,250,A0382,BLS Disposables
2024,11/16/2023,City of Helotes,313.1,313.1,No Code,"Ambulance Stand By, Per Hour"
2024,11/16/2023,City of Helotes,350,350,A0398,ALS Disposables
2024,11/16/2023,City of Kennedale,1300,1300,A0428,CPT
2024,11/16/2023,City of Kennedale,1400,1400,A0429,CPT
2024,11/16/2023,City of Kennedale,150,150,A0422,Oxygen
2024,11/16/2023,City of Kennedale,1500,1500,A0426,CPT
2024,11/16/2023,City of Kennedale,1600,1600,A0427,CPT
2024,11/16/2023,City of Kennedale,175,175,A0998,"Treatment, no transport"
2024,11/16/2023,City of Kennedale,1800,1800,A0433,CPT
2024,11/16/2023,City of Kennedale,24,24,A0425,CPT
2024,11/16/2023,City of Kennedale,350,350,A0382,Basic life support disposables
2024,11/16/2023,City of Kennedale,400,400,A0398,Advance life support disposables
2024,11/16/2023,City of Sachse Fire-Rescue,125,125,A0422,Oxygen
2024,11/16/2023,City of Sachse Fire-Rescue,125,125,A0998,"Treatment, No transport"
2024,11/16/2023,City of Sachse Fire-Rescue,1250,1250,A0434,CPT
2024,11/16/2023,City of Sachse Fire-Rescue,1400,1400,A0429,CPT
2024,11/16/2023,City of Sachse Fire-Rescue,1600,1600,A0427,CPT
2024,11/16/2023,City of Sachse Fire-Rescue,1750,1750,A0433,CPT
2024,11/16/2023,City of Sachse Fire-Rescue,24,24,A0425,CPT
2024,11/16/2023,City of Sachse Fire-Rescue,350,350,A0382,Basic Life Support Disposables
2024,11/16/2023,City of Sachse Fire-Rescue,400,400,A0398,Advanced Life Support disposables
2024,11/16/2023,City of Sachse Fire-Rescue,75,75,A0424,"Extra Attendant, Ground"
2024,11/16/2023,City of Saginaw,1.5,1.5,A0420,Wait Time
2024,11/16/2023,City of Saginaw,100,100,A0382,BLS Supplies
2024,11/16/2023,City of Saginaw,1011,1011,A0426,CPT
2024,11/16/2023,City of Saginaw,1011,1011,A0428,CPT
2024,11/16/2023,City of Saginaw,116,116,A0422,Oxygen
2024,11/16/2023,City of Saginaw,156,156,A0398,ALS Supplies
2024,11/16/2023,City of Saginaw,1685,1685,A0429,CPT
2024,11/16/2023,City of Saginaw,1685,1685,A0429W,ET3 Treatment in Place - BLS
2024,11/16/2023,City of Saginaw,1785,1785,A0427,CPT
2024,11/16/2023,City of Saginaw,1785,1785,A0427W,ET-3 ALS Treatment in Place
2024,11/16/2023,City of Saginaw,1785,1785,A0433,CPT
2024,11/16/2023,City of Saginaw,2640,2640,A0434,CPT
2024,11/16/2023,City of Saginaw,27,27,A0425,CPT
2024,11/16/2023,City of Saginaw,500,500,A0998,"Ambulance Response, Treatment, No Transport"
2024,11/16/2023,City of Westworth Village,1.5,1.5,A0420,Wait Time
2024,11/16/2023,City of Westworth Village,100,100,A0382,BLS Supplies
2024,11/16/2023,City of Westworth Village,1011,1011,A0426,CPT
2024,11/16/2023,City of Westworth Village,1011,1011,A0428,CPT
2024,11/16/2023,City of Westworth Village,116,116,A0422,Oxygen
2024,11/16/2023,City of Westworth Village,156,156,A0398,ALS Disposable Supplies
2024,11/16/2023,City of Westworth Village,1685,1685,A0429,CPT
2024,11/16/2023,City of Westworth Village,1685,1685,A0429W,ET3 Treatment in Place - BLS
2024,11/16/2023,City of Westworth Village,1785,1785,A0427,CPT
2024,11/16/2023,City of Westworth Village,1785,1785,A0427W,ET3 Treatment in Place - ALS
2024,11/16/2023,City of Westworth Village,1785.11,1785.11,A0433,CPT
2024,11/16/2023,City of Westworth Village,2640,2640,A0434,CPT
2024,11/16/2023,City of Westworth Village,27,27,A0425,CPT
2024,11/16/2023,City of Westworth Village,500,500,A0998,"Ambulance Response, Treatment, No Transport"
2024,11/16/2023,"Fayette County, Texas",125,125,A0422,Oxygen
2024,11/16/2023,"Fayette County, Texas",1300,1300,A0428,CPT
2024,11/16/2023,"Fayette County, Texas",1300,1300,A0429,CPT
2024,11/16/2023,"Fayette County, Texas",150,150,A0998,"Treatment, no transport"
2024,11/16/2023,"Fayette County, Texas",1500,1500,A0426,CPT
2024,11/16/2023,"Fayette County, Texas",1500,1500,A0427,CPT
2024,11/16/2023,"Fayette County, Texas",1700,1700,A0433,CPT
2024,11/16/2023,"Fayette County, Texas",2200,2200,A0434,CPT
2024,11/16/2023,"Fayette County, Texas",24,24,A0425,CPT
2024,11/16/2023,"Fayette County, Texas",350,350,A0382,Basic life support disposables
2024,11/16/2023,"Fayette County, Texas",450,450,A0398,Advance life support disposables
2024,11/16/2023,Ward County EMS,0,0,A0420,Ambulance Waiting time
2024,11/16/2023,Ward County EMS,0,0,A0424,Extra Ambulabce Attendant
2024,11/16/2023,Ward County EMS,0,0,A0432,CPT
2024,11/16/2023,Ward County EMS,0,0,A0434,CPT
2024,11/16/2023,Ward County EMS,1100,1100,A0428,CPT
2024,11/16/2023,Ward County EMS,1200,1200,A0429,CPT
2024,11/16/2023,Ward County EMS,125,125,AO422,Oxygen
2024,11/16/2023,Ward County EMS,1300,1300,A0426,CPT
2024,11/16/2023,Ward County EMS,1500,1500,A0427,CPT
2024,11/16/2023,Ward County EMS,1700,1700,A0433,CPT
2024,11/16/2023,Ward County EMS,175,175,A0998,"Treatment, No Transport"
2024,11/16/2023,Ward County EMS,24,24,A0425,CPT
2024,11/16/2023,Ward County EMS,300,300,A0382,BLS Disposables
2024,11/16/2023,Ward County EMS,400,400,A0398,ALS Disposables
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",0,0,A0432,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1095,1095,A0428,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1095,1095,A0429,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1295,1295,A0426,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1295,1295,A0427,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1495,1495,A0433,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",1695,1695,A0434,CPT
2024,11/17/2023,"Bryan,Brazos,CHI St Joseph Regional Health EMS",23,23,A0425,CPT
2024,11/17/2023,City of Lake Worth,1.5,1.5,A0420,Wait Time
2024,11/17/2023,City of Lake Worth,100,100,A0382,BLS Disposable Supplies
2024,11/17/2023,City of Lake Worth,1011,1011,A0426,CPT
2024,11/17/2023,City of Lake Worth,1011,1011,A0428,CPT
2024,11/17/2023,City of Lake Worth,116,116,A0422,Oxygen
2024,11/17/2023,City of Lake Worth,156,156,A0398,ALS Disposable Supplies
2024,11/17/2023,City of Lake Worth,1685,1685,A0429,CPT
2024,11/17/2023,City of Lake Worth,1685,1685,A0429W,ET3 Treatment in Place - BLS
2024,11/17/2023,City of Lake Worth,1785,1785,A0427,CPT
2024,11/17/2023,City of Lake Worth,1785,1785,A0427W,ET3 Treatment in Place - ALS
2024,11/17/2023,City of Lake Worth,1785,1785,A0433,CPT
2024,11/17/2023,City of Lake Worth,2640,2640,A0434,CPT
2024,11/17/2023,City of Lake Worth,27,27,A0425,CPT
2024,11/17/2023,City of Lake Worth,500,500,A0998,"Ambulance Response, Treatment, No Transport"
2024,11/17/2023,City of New Braunfels,1085,1085,A0428,CPT
2024,11/17/2023,City of New Braunfels,1085,1085,A0429,CPT
2024,11/17/2023,City of New Braunfels,1320,1320,A0426,CPT
2024,11/17/2023,City of New Braunfels,1320,1320,A0427,CPT
2024,11/17/2023,City of New Braunfels,1467,1467,A0433,CPT
2024,11/17/2023,City of New Braunfels,20,20,A0425,CPT
2024,11/17/2023,Galveston County ESD#2,1500,1500,A0428,CPT
2024,11/17/2023,Galveston County ESD#2,1500,1500,A0429,CPT
2024,11/17/2023,Galveston County ESD#2,1600,1600,AO426,ALS-NON
2024,11/17/2023,Galveston County ESD#2,1600,1600,AO427,ALS-E
2024,11/17/2023,Galveston County ESD#2,2000,2000,A0433,CPT
2024,11/17/2023,Galveston County ESD#2,24,24,A0425,CPT
2024,11/17/2023,Galveston County ESD#2,2500,2500,A0434,CPT
2024,11/17/2023,Town of Lakeside,1.5,1.5,A0420,Wait Time
2024,11/17/2023,Town of Lakeside,100,100,A0382,BLS Disposable Supplies
2024,11/17/2023,Town of Lakeside,1011,1011,A0426,CPT
2024,11/17/2023,Town of Lakeside,1011,1011,A0428,CPT
2024,11/17/2023,Town of Lakeside,116,116,A0422,Oxygen
2024,11/17/2023,Town of Lakeside,156,156,A0398,ALS Disposable Supplies
2024,11/17/2023,Town of Lakeside,1685,1685,A0429,CPT
2024,11/17/2023,Town of Lakeside,1685,1685,A0429W,ET3 Treatment in Place - BLS
2024,11/17/2023,Town of Lakeside,1785,1785,A0427,CPT
2024,11/17/2023,Town of Lakeside,1785,1785,A0427W,ET3 Treatment in Place - ALS
2024,11/17/2023,Town of Lakeside,1785,1785,A0433,CPT
2024,11/17/2023,Town of Lakeside,2640,2640,A0434,CPT
2024,11/17/2023,Town of Lakeside,27,27,A0425,CPT
2024,11/17/2023,Town of Lakeside,500,500,A0998,"Ambulance Response, Treatment, No Transport"
2024,11/20/2023,Addison,1400,1400,A0428,CPT
2024,11/20/2023,Addison,1400,1400,A0429,CPT
2024,11/20/2023,Addison,150,150,A0422,Oxygen
2024,11/20/2023,Addison,1600,1600,A0426,CPT
2024,11/20/2023,Addison,1600,1600,A0427,CPT
2024,11/20/2023,Addison,1750,1750,A0433,CPT
2024,11/20/2023,Addison,200,200,A0382,Basic life support disposables
2024,11/20/2023,Addison,24,24,A0425,CPT
2024,11/20/2023,Addison,400,400,A0398,Advance life support disposables
2024,11/20/2023,City of Baytown,1000,1000,A0429,CPT
2024,11/20/2023,City of Baytown,120,120,A0422,Oxygen
2024,11/20/2023,City of Baytown,1400,1400,A0427,CPT
2024,11/20/2023,City of Baytown,1600,1600,A0433,CPT
2024,11/20/2023,City of Baytown,200,200,A0382,BLS routine disposable supplies
2024,11/20/2023,City of Baytown,22,22,A0425,CPT
2024,11/20/2023,City of Baytown,400,400,A0398,ALS routine disposable supplies
2024,11/20/2023,City of Celina,1000,1000,A0434,CPT
2024,11/20/2023,City of Celina,1150,1150,A0429,CPT
2024,11/20/2023,City of Celina,125,125,A0422,Oxygen
2024,11/20/2023,City of Celina,1350,1350,A0427,CPT
2024,11/20/2023,City of Celina,1450,1450,A0433,CPT
2024,11/20/2023,City of Celina,200,200,A0998,Treatment No Transport
2024,11/20/2023,City of Celina,24,24,A0425,CPT
2024,11/20/2023,City of Celina,300,300,A0382,BLS Disposables
2024,11/20/2023,City of Celina,400,400,A0398,ALS Disposables
2024,11/20/2023,City of Colleyville,1000,1000,A0428,CPT
2024,11/20/2023,City of Colleyville,1000,1000,A0429,CPT
2024,11/20/2023,City of Colleyville,1400,1400,A0426,CPT
2024,11/20/2023,City of Colleyville,1400,1400,A0427,CPT
2024,11/20/2023,City of Colleyville,150,150,A0422,Oxygen
2024,11/20/2023,City of Colleyville,1662.96,1662.96,A0434,CPT
2024,11/20/2023,City of Colleyville,175,175,A0998,Treatment No Transport
2024,11/20/2023,City of Colleyville,18,18,A0425,CPT
2024,11/20/2023,City of Colleyville,1800,1800,A0433,CPT
2024,11/20/2023,City of Colleyville,250,250,A0382,BLS Disposables
2024,11/20/2023,City of Colleyville,400,400,A0398,ALS Disposables
2024,11/20/2023,City of Lucas,1400,1400,A0429,CPT
2024,11/20/2023,City of Lucas,150,150,A0422,Oxygen
2024,11/20/2023,City of Lucas,1600,1600,A0427,CPT
2024,11/20/2023,City of Lucas,175,175,A0998,"Treatment, no transport"
2024,11/20/2023,City of Lucas,1800,1800,A0433,CPT
2024,11/20/2023,City of Lucas,2000,2000,A0434,CPT
2024,11/20/2023,City of Lucas,24,24,A0425,CPT
2024,11/20/2023,City of Lucas,350,350,A0382,BLS Disposables
2024,11/20/2023,City of Lucas,400,400,A0398,ALS Disposables
2024,11/20/2023,City of Mansfield,115,115,A0422,Oxygen
2024,11/20/2023,City of Mansfield,125,125,A0384,defibrillation ALS and BLS
2024,11/20/2023,City of Mansfield,125,125,A0394,IV Drug Therapy disposables
2024,11/20/2023,City of Mansfield,125,125,A0396,Endotracheal Intubation disposables
2024,11/20/2023,City of Mansfield,136.5,136.5,A0382,BLS Disposables
2024,11/20/2023,City of Mansfield,20,20,A0425,CPT
2024,11/20/2023,City of Mansfield,227.5,227.5,A0398,ALS disposables
2024,11/20/2023,City of Mansfield,786.5,1192.5,A0429,CPT
2024,11/20/2023,City of Mansfield,863,863,A0433,CPT
2024,11/20/2023,City of Mansfield,941.25,1249.5,A0427,CPT
2024,11/20/2023,City of Mineral Wells,125,125,A0422,Oxygen
2024,11/20/2023,City of Mineral Wells,1539,1539,A0429,CPT
2024,11/20/2023,City of Mineral Wells,175,175,A0998,"Treatment, no transport"
2024,11/20/2023,City of Mineral Wells,2235.8,2235.8,A0434,CPT
2024,11/20/2023,City of Mineral Wells,2248.6,2248.6,A0427,CPT
2024,11/20/2023,City of Mineral Wells,2335.8,2335.8,A0433,CPT
2024,11/20/2023,City of Mineral Wells,24,24,A0425,CPT
2024,11/20/2023,City of Mineral Wells,300,300,A0382,Basic life support disposables
2024,11/20/2023,City of Mineral Wells,400,400,A0398,Advanced life support disposables
2024,11/20/2023,City of Mineral Wells,75,75,A0424,"Extra ambulance attendant, ground"
2024,11/20/2023,City of Mineral Wells,80,80,A0420,Waiting time
2024,11/20/2023,City of Port Isabel,130,130,A0422,Oxygen
2024,11/20/2023,City of Port Isabel,1300,1300,A0428,CPT
2024,11/20/2023,City of Port Isabel,1400,1400,A0429,CPT
2024,11/20/2023,City of Port Isabel,150,150,A0998,"Treatment, No Transport"
2024,11/20/2023,City of Port Isabel,1600,1600,A0427,CPT
